title,description,image_url,user_id,location_id,movie_id
The famous fight scene!,"That scene in ""Dark Knight Rises"" where the masked villain Bane works Gotham up into a frenzy? It was actually shot on the steps of Federal Hall on Wall Street.",https://i.pinimg.com/originals/05/b4/4c/05b44cda74108589ee38483e6c5bedc1.jpg,1,1,49026
Joker's stairs!,Check out this location form the movie Joker!,https://mymodernmet.com/wp/wp-content/uploads/2020/01/steping-through-film-locations-12.jpg,1,2,475557
New york location for elf!,"Park Avenue is a wide boulevard that carries north and southbound traffic. Through most of its length, it runs parallel to Madison Avenue to the west and Lexington Avenue to the east.",http://onthesetofnewyork.com/locations/elf/elf01.jpg,1,3,10719
Check this out!,The building featured in the film,https://mymodernmet.com/wp/wp-content/uploads/2020/01/steping-through-film-locations-16.jpg,2,4,181533
Where the Joker was standing,"the confrontation between Batman and the Joker: South LaSalle Street, Chicago",https://cdn.vox-cdn.com/thumbor/rc3oPr8F6nBulWsHBLcDQXwa0wg=/0x0:1920x1080/1400x933/filters:focal(683x122:989x428):no_upscale()/cdn.vox-cdn.com/uploads/chorus_image/image/60394257/darkknight_movie_screencaps.com_9743.0.jpg,2,5,155
Rocky Steps!,Rocky steps in philly,https://www.hollywoodinsider.com/wp-content/uploads/2021/03/Hollywood-Insider-Filming-Locations-and-Important-Movie-Landmarks-in-USA-Roadtrip.jpg,2,6,1366
The infamous Nakatomi Plaza,Check out this location from Die Hard!,https://www.discoverlosangeles.com/sites/default/files/images/2019-02/los-angeles-die-hard-fox-plaza.JPG?width=2600&fit=bound&quality=72&auto=webp,2,7,562
Location for movie HEAT!,Val Kilmer and Robert De Niro at the Burbank Bob's Big Boy,https://www.discoverlosangeles.com/sites/default/files/images/2019-02/los-angeles-heat-burbank-bobs-big-boy.JPG?width=2600&fit=bound&quality=72&auto=webp,3,8,949
Check out this scene!,Scene from Blade Runner at the Bradbury Building,https://www.discoverlosangeles.com/sites/default/files/images/2019-02/Blade%20Runner%20Bradbury%20Building%20filmtourismus.JPG?width=2600&fit=bound&quality=72&auto=webp,3,9,78
The Avengers OG,The grand central terminal location,https://64.media.tumblr.com/19c7b299b89992cd279bb557b11efe9c/tumblr_mgwctnYR9w1ry9teho1_1280.jpg,3,10,24428
The Salvation Mountain,"Tracy asks Chris if he wants to go to Salvation Mountain. There, they meet the great Leonard Knight.",https://www.sceen-it.com/Service/sceenit/sceen/thumb/51643.jpg/w/600/h/340/crop/true/nos/4151_into%20the%20wild_salvation%20mountain_4.jpeg,3,11,5915
"The Joker, is waiting for a lift.","This is the place where The Dark Knight starring Christian Bale, Heath Ledger and Michael Caine was filmed at W Van Buren Street in Chicago, United States",https://www.sceen-it.com/Service/sceenit/sceen/thumb/21817.jpg/w/600/h/340/crop/true/nos/155_08_TheDarkKnight_WVanBurenStreet_01.jpg,3,12,155
Want to know where?,Bane orders his men to storm the Blackgate Prison.,https://www.sceen-it.com/Service/sceenit/sceen/thumb/84497.jpg/w/600/h/340/crop/true/nos/6386_the%20dark%20knight%20rises_mellon%20institute_0.jpg,3,13,49026
A scene from Reservoir Dogs ,The Reservoir Dogs are on the move.,https://www.sceen-it.com/Service/sceenit/sceen/thumb/48967.jpg/w/600/h/340/crop/true/nos/3938_reservoir%20dogs_eagle%20rock%20boulevard_0.jpeg,4,14,500
Johnny White's Pub,"Sasha, Dina and Lisa see a photo online the need to talk about with Ryan.",https://www.sceen-it.com/Service/sceenit/sceen/thumb/65271.jpg/w/600/h/340/crop/true/nos/Girls%20Trip.jpg,4,15,417870
Wonder Woman tries to save the day.,Wonder Woman tries to save the day.,https://www.sceen-it.com/Service/sceenit/sceen/thumb/50107.jpg/w/600/h/340/crop/true/nos/4023_wonder%20woman%201984_pennsylvania%20ave%20nw_0.jpeg,4,16,464052
South Shore Cultural Center (exterior),The band is back together and put up a great performance.,https://www.sceen-it.com/Service/sceenit/sceen/thumb/53294.jpg/w/600/h/340/crop/true/nos/4273_the%20blues%20brothers_south%20shore%20cultural%20center%20(exterior)_0.jpg,4,17,525
City Hall Chicago in Blues Brothers!!!,Jake and Elwood crash their car against the building and see how it falls apart.,https://www.sceen-it.com/Service/sceenit/sceen/thumb/53313.jpg/w/600/h/340/crop/true/nos/4277_the%20blues%20brothers_city%20hall%20chicago_2.png,4,18,525
Check it!,The team gathers.,https://www.sceen-it.com/Service/sceenit/sceen/thumb/53677.jpg/w/600/h/340/crop/true/nos/4300_inception_s%20hope%20street_0.jpg,1,19,27205
Neo is on the move!,"This is the place where The Matrix Resurrections were shot, starring Keanu Reeves",https://www.sceen-it.com/Service/sceenit/sceen/thumb/74045.jpg/w/600/h/340/crop/true/nos/5661_the%20matrix%20resurrections_russ%20building_0.jpg,2,20,624860
Spoiler scene for Forrest Gump,** spoiler alert ** Forrest and his son are fishing.,https://www.sceen-it.com/Service/sceenit/sceen/thumb/69458.jpg/w/600/h/340/crop/true/nos/5349_forrest%20gump_2979%20combahee%20road_0.jpg,3,21,13
